name;kurzname;blz;bic;plz;ort
BSK 1818 - Berliner Sparkasse;BSK 1818-Berliner Sparkasse;10050000;BELADEBEXXX;10889;Berlin
Bordesholmer Sparkasse;Bordesholmer Sparkasse;21051275;NOLADE21BOR;24582;Bordesholm
Frankfurter Sparkasse;Frankfurter Spk Frankfurt;50050201;HELADEF1822;60255;Frankfurt am Main
Frankfurter Sparkasse GF 1822direkt;Frankfurter Spk 1822direkt;50050222;HELADEF1822;60255;Frankfurt am Main
Förde Sparkasse;Förde Sparkasse;21050170;NOLADE21KIE;24103;Kiel
Hamburger Sparkasse;Haspa Hamburg;20050550;HASPDEHHXXX;20354;Hamburg
Herner Sparkasse;Herner Sparkasse;43250030;WELADED1HRN;44621;Herne
Kasseler Sparkasse;Kasseler Sparkasse;52050353;HELADEF1KAS;34117;Kassel
Kreis-Sparkasse Northeim;Kr Spk Northeim;26250001;NOLADE21NOM;37144;Northeim
Mittelbrandenburgische Sparkasse in Potsdam;Mittelbrandenbg Sparkasse;16050000;WELADED1PMB;14459;Potsdam
Müritz-Sparkasse;Müritz-Sparkasse Waren;15050100;NOLADE21WRN;17192;Waren (Müritz)
Nassauische Sparkasse;Nass Spk Wiesbaden;51050015;NASSDE55XXX;65034;Wiesbaden
Niederrheinische Sparkasse RheinLippe;NISPA;35650000;WELADED1WES;46466;Wesel
Nord-Ostsee Sparkasse;Nord-Ostsee Spk Schleswig;21750000;NOLADE21NOS;24837;Schleswig
Ostsächsische Sparkasse Dresden;Ostsächsische Spk Dresden;85050300;OSDDDE81XXX;01305;Dresden
Rheinhessen Sparkasse;Rheinhessen Sparkasse;55350010;MALADE51WOR;55116;Mainz
Rhön-Rennsteig-Sparkasse;Rhön-Rennsteig-Sparkasse;84050000;HELADEF1RRS;98617;Meiningen
Sparkasse Aachen;Sparkasse Aachen;39050000;AACSDE33XXX;52059;Aachen
Sparkasse Allgäu;Sparkasse Allgäu;73350000;BYLADEM1ALG;87435;Kempten (Allgäu)
Sparkasse Altbayern;Spk Altbayern;72051210;BYLADEM1AIC;86551;Aichach
Sparkasse Altenburger Land;Spk Altenburger Land;83050200;HELADEF1ALT;04581;Altenburg
Sparkasse Altmark West;Spk Altmark West Salzwedel;81055555;NOLADE21SAW;29402;Salzwedel, Hansestadt
Sparkasse Altötting-Mühldorf;Spk Altötting-Mühldorf;71151020;BYLADEM1MDF;84445;Mühldorf a. Inn
Sparkasse Amberg-Sulzbach;Sparkasse Amberg-Sulzbach;75250000;BYLADEM1ABG;92206;Amberg
Sparkasse Ansbach;Sparkasse Ansbach;76550000;BYLADEM1ANS;91509;Ansbach
Sparkasse Arnstadt-Ilmenau;Sparkasse Arnstadt-Ilmenau;84051010;HELADEF1ILK;98685;Ilmenau
Sparkasse Aschaffenburg Miltenberg;Spk AschaffenburgMiltenberg;79550000;BYLADEM1ASA;63739;Aschaffenburg
Sparkasse Attendorn-Lennestadt-Kirchhundem;Spk Attend-Lennest-Kirchhdm;46251630;WELADED1ALK;57428;Attendorn
Sparkasse Aurich-Norden;Spk Aurich-Norden;28350000;BRLADE21ANO;26603;Aurich
Sparkasse Bad Hersfeld-Rotenburg;Spk Bad Hersfeld-Rotenburg;53250000;HELADEF1HER;36229;Bad Hersfeld
Sparkasse Bad Kissingen;Spk Bad Kissingen;79351010;BYLADEM1KIS;97688;Bad Kissingen
Sparkasse Bad Neustadt a d Saale;Spk Bad Neustadt a d Saale;79353090;BYLADEM1NES;97615;Bad Neustadt a.d.Saale
Sparkasse Bad Oeynhausen-Porta Westfalica;Spk Bad Oeynh.-Porta Westf.;49051285;WELADED1OEH;32543;Bad Oeynhausen
Sparkasse Bad Tölz-Wolfratshausen;Spk Bad Tölz-Wolfratshausen;70054306;BYLADEM1WOR;83646;Bad Tölz
Sparkasse Baden-Baden Gaggenau;Spk Baden-Baden Gaggenau;66250030;SOLADES1BAD;76530;Baden-Baden
Sparkasse Bamberg;Spk Bamberg;77050000;BYLADEM1SKB;96055;Bamberg
Sparkasse Barnim;Sparkasse Barnim Eberswalde;17052000;WELADED1GZE;16204;Eberswalde
Sparkasse Bayreuth;Sparkasse Bayreuth;77350110;BYLADEM1SBT;95440;Bayreuth
Sparkasse Bensheim;Sparkasse Bensheim;50950068;HELADEF1BEN;64601;Bensheim
Sparkasse Berchtesgadener Land;Spk Berchtesgadener Land;71050000;BYLADEM1BGL;83435;Bad Reichenhall
Sparkasse Bergkamen-Bönen;Spk Bergkamen-Bönen;41051845;WELADED1BGK;59180;Bergkamen
Sparkasse Bielefeld;Spk Bielefeld;48050161;SPBIDE3BXXX;33526;Bielefeld
Sparkasse Bochum;Sparkasse Bochum;43050001;WELADED1BOC;44724;Bochum
Sparkasse Bodensee;Sparkasse Bodensee;69050001;SOLADES1KNZ;78420;Konstanz
Sparkasse Bonndorf-Stühlingen;Spk Bonndorf-Stühlingen;68051207;SOLADES1BND;79844;Bonndorf im Schwarzwald
Sparkasse Borken-Schwalmstadt;Spk Borken-Schwalmst,Borken;52053458;HELADEF1SWA;34582;Borken (Hessen)
Sparkasse Bottrop;Spk Bottrop;42451220;WELADED1BOT;46215;Bottrop
Sparkasse Bremen;Spk Bremen;29050101;SBREDE22XXX;28078;Bremen
Sparkasse Burbach-Neunkirchen;Spk Burbach-Neunkirchen;46051240;WELADED1BUB;57291;Burbach
Sparkasse Burgenlandkreis;Spk Burgenlandkreis;80053000;NOLADE21BLK;06694;Zeitz
Sparkasse Bühl;Sparkasse Bühl;66251434;SOLADES1BHL;77815;Bühl
Sparkasse Celle-Gifhorn-Wolfsburg;Spk Celle-Gifhorn-Wolfsburg;26951311;NOLADE21GFW;38518;Gifhorn
Sparkasse Chemnitz;Sparkasse Chemnitz;87050000;CHEKDE81XXX;09009;Chemnitz
Sparkasse Coburg-Lichtenfels;Spk Coburg-Lichtenfels;78350000;BYLADEM1COB;96421;Coburg
Sparkasse Dachau;Sparkasse Dachau;70051540;BYLADEM1DAH;85219;Dachau
Sparkasse Darmstadt und Dieburg;Spk Darmstadt und Dieburg;50850150;HELADEF1DAS;64278;Darmstadt
Sparkasse Deggendorf;Spk Deggendorf;74150000;BYLADEM1DEG;94459;Deggendorf
Sparkasse Dillenburg;Spk Dillenburg;51650045;HELADEF1DIL;35683;Dillenburg
Sparkasse Donnersberg;Sparkasse Donnersberg;54051990;MALADE51ROK;67802;Rockenhausen
Sparkasse Dortmund;Sparkasse Dortmund;44050199;DORTDE33XXX;44047;Dortmund
Sparkasse Duderstadt;Sparkasse Duderstadt;26051260;NOLADE21DUD;37105;Duderstadt
Sparkasse Duisburg;Spk Duisburg;35050000;DUISDE33XXX;47015;Duisburg
Sparkasse Düren;Sparkasse Düren;39550110;SDUEDE33XXX;52324;Düren
Sparkasse Einbeck;Sparkasse Einbeck;26251425;NOLADE21EIN;37574;Einbeck
Sparkasse Elbe-Elster;Sparkasse Elbe-Elster;18051000;WELADED1EES;03231;Finsterwalde
Sparkasse Elmshorn;Spk Elmshorn;22150000;NOLADE21ELH;25335;Elmshorn
Sparkasse Emden;Sparkasse Emden;28450000;BRLADE21EMD;26702;Emden
Sparkasse Emsland;Spk Emsland;26650001;NOLADE21EMS;49704;Meppen
Sparkasse Engen-Gottmadingen;Spk Engen-Gottmadingen;69251445;SOLADES1ENG;78229;Engen
Sparkasse Essen;Sparkasse Essen;36050105;SPESDE3EXXX;45117;Essen
Sparkasse Forchheim;Sparkasse Forchheim;76351040;BYLADEM1FOR;91299;Forchheim
