name;gruppe;kategorie;kurzname;blz;bic;plz;ort
1822direkt (Geschäftsfeld der Frankfurter Sparkasse);Direktbank/Neobank;Direktbank;;50050222;HELADEF1822;60255;Frankfurt am Main
C24 Bank;Direktbank/Neobank;Neobank;;50024024;DEFFDEFFXXX;60327;Frankfurt am Main
Deutsche Kreditbank (DKB);Direktbank/Neobank;Direktbank;;12030000;BYLADEM1001;10117;Berlin
ING-DiBa;Direktbank/Neobank;Direktbank;;50010517;INGDDEFFXXX;;Frankfurt am Main
Klarna Bank, German Branch;Direktbank/Neobank;Neobank;;10010300;KLRNDEBEXXX;10115;Berlin
N26 Bank;Direktbank/Neobank;Neobank;;10011001;NTSBDEB1XXX;10179;Berlin
Openbank Deutschland;Direktbank/Neobank;Direktbank;;10033300;SCFBDE33XXX;41061;Mönchengladbach
Revolut Bank, Zweigniederlassung Deutschland;Direktbank/Neobank;Neobank;;10010178;REVODEB2XXX;10117;Berlin
Scalable Capital Bank;Direktbank/Neobank;Neobank;;70022424;SCABDEMMXXX;;München
Trade Republic Bank;Direktbank/Neobank;Neobank;;10012345;TRBKDEBBXXX;10119;Berlin
bunq Niederlassung Deutschland;Direktbank/Neobank;Neobank;;37019000;BUNQDE82XXX;50667;Köln
comdirect (Geschäftsfeld der Commerzbank);Direktbank/Neobank;Direktbank;;20041111;COBADEHDXXX;25449;Quickborn
norisbank;Direktbank/Neobank;Direktbank;;10077777;NORSDE51XXX;10625;Berlin
BSK 1818 - Berliner Sparkasse;Sparkasse;;BSK 1818-Berliner Sparkasse;10050000;BELADEBEXXX;10889;Berlin
Bordesholmer Sparkasse;Sparkasse;;Bordesholmer Sparkasse;21051275;NOLADE21BOR;24582;Bordesholm
Frankfurter Sparkasse;Sparkasse;;Frankfurter Spk Frankfurt;50050201;HELADEF1822;60255;Frankfurt am Main
Frankfurter Sparkasse GF 1822direkt;Sparkasse;;Frankfurter Spk 1822direkt;50050222;HELADEF1822;60255;Frankfurt am Main
Förde Sparkasse;Sparkasse;;Förde Sparkasse;21050170;NOLADE21KIE;24103;Kiel
Hamburger Sparkasse;Sparkasse;;Haspa Hamburg;20050550;HASPDEHHXXX;20354;Hamburg
Herner Sparkasse;Sparkasse;;Herner Sparkasse;43250030;WELADED1HRN;44621;Herne
Kasseler Sparkasse;Sparkasse;;Kasseler Sparkasse;52050353;HELADEF1KAS;34117;Kassel
Kreis-Sparkasse Northeim;Sparkasse;;Kr Spk Northeim;26250001;NOLADE21NOM;37144;Northeim
Mittelbrandenburgische Sparkasse in Potsdam;Sparkasse;;Mittelbrandenbg Sparkasse;16050000;WELADED1PMB;14459;Potsdam
Müritz-Sparkasse;Sparkasse;;Müritz-Sparkasse Waren;15050100;NOLADE21WRN;17192;Waren (Müritz)
Nassauische Sparkasse;Sparkasse;;Nass Spk Wiesbaden;51050015;NASSDE55XXX;65034;Wiesbaden
Niederrheinische Sparkasse RheinLippe;Sparkasse;;NISPA;35650000;WELADED1WES;46466;Wesel
Nord-Ostsee Sparkasse;Sparkasse;;Nord-Ostsee Spk Schleswig;21750000;NOLADE21NOS;24837;Schleswig
Ostsächsische Sparkasse Dresden;Sparkasse;;Ostsächsische Spk Dresden;85050300;OSDDDE81XXX;01305;Dresden
Rheinhessen Sparkasse;Sparkasse;;Rheinhessen Sparkasse;55350010;MALADE51WOR;55116;Mainz
Rhön-Rennsteig-Sparkasse;Sparkasse;;Rhön-Rennsteig-Sparkasse;84050000;HELADEF1RRS;98617;Meiningen
Sparkasse Aachen;Sparkasse;;Sparkasse Aachen;39050000;AACSDE33XXX;52059;Aachen
Sparkasse Allgäu;Sparkasse;;Sparkasse Allgäu;73350000;BYLADEM1ALG;87435;Kempten (Allgäu)
Sparkasse Altbayern;Sparkasse;;Spk Altbayern;72051210;BYLADEM1AIC;86551;Aichach
Sparkasse Altenburger Land;Sparkasse;;Spk Altenburger Land;83050200;HELADEF1ALT;04581;Altenburg
Sparkasse Altmark West;Sparkasse;;Spk Altmark West Salzwedel;81055555;NOLADE21SAW;29402;Salzwedel, Hansestadt
Sparkasse Altötting-Mühldorf;Sparkasse;;Spk Altötting-Mühldorf;71151020;BYLADEM1MDF;84445;Mühldorf a. Inn
Sparkasse Amberg-Sulzbach;Sparkasse;;Sparkasse Amberg-Sulzbach;75250000;BYLADEM1ABG;92206;Amberg
Sparkasse Ansbach;Sparkasse;;Sparkasse Ansbach;76550000;BYLADEM1ANS;91509;Ansbach
