name;kurzname;blz;bic;plz;ort
Abtsgmünder Bank -Raiffeisen-;Abtsgmünder Bank;60069673;GENODES1ABR;73453;Abtsgmünd
Allgäuer Volksbank Kempten-Sonthofen;Allgäuer Volksbank;73390000;GENODEF1KEV;87416;Kempten (Allgäu)
BVB Volksbank Ndl d Frankfurter Volksbank;BVB Volksbank;51861325;GENODEF1BVB;61101;Bad Vilbel
Bankverein Werther Zw Ndl der VerbundVolksbank OWL;Bankv.Werther ZwNdl VV OWL;48021900;DGPBDE3MBVW;33824;Werther (Westf.)
Berliner Volksbank;Berliner VB Berlin;10090000;BEVODEBBXXX;10892;Berlin
Bremische Volksbank Weser-Wümme;Bremische Volksbank W-W;29190024;GENODEF1HB1;28069;Bremen
Budenheimer Volksbank;Budenheimer Volksbank;55061303;GENODE51BUD;55254;Budenheim
Dithmarscher Volks- und Raiffeisenbank;Dithmarscher VRB Heide;21890022;GENODEF1DVR;25746;Heide
Dortmunder Volksbank;Dortmunder Volksbank;44160014;GENODEM1DOR;44128;Dortmund
Eckernförder Bank Volksbank-Raiffeisenbank;Eckernförder Bank VRB;21092023;GENODEF1EFO;24331;Eckernförde
Emsländische Volksbank;Emsländische Volksbank;26660060;GENODEF1LIG;49791;Lingen (Ems)
EthikBank, Zndl der Volksbank Eisenberg;EthikBank Zndl Vb Eisenberg;83094495;GENODEF1ETK;07607;Eisenberg
Frankfurter Volksbank Rhein-Main;Frankfurter Voba Rhein-Main;50190000;FFVBDEFFXXX;60008;Frankfurt am Main
Freisinger Bank Volksbank-Raiffeisenbank;Freisinger Bank VB-Raiffbk;70169614;GENODEF1FSR;85354;Freising
Grafschafter Volksbank;Grafschafter Volksbank;28069956;GENODEF1NEV;48511;Nordhorn
Hagnauer Volksbank;Hagnauer Volksbank;69091200;GENODE61HAG;88709;Hagnau am Bodensee
Hamburger Volksbank;Hamburger Volksbank;20190003;GENODEF1HH2;20097;Hamburg
Hannoversche Volksbank;Hannoversche Volksbank;25190001;VOHADE2HXXX;30159;Hannover
Harzer Volksbank;Harzer Volksbank;80063508;GENODEF1QLB;38855;Wernigerode
Heidenheimer Volksbank;Heidenheimer Volksbank;63290110;GENODES1HDH;89504;Heidenheim an der Brenz
Hümmlinger Volksbank;Hümmlinger Volksbank;28069381;GENODEF1WLT;49757;Werlte
Ihre Volksbank Neckar Odenwald Main Tauber;Ihre Volksbank;67390000;GENODE61WTH;97866;Wertheim
Kieler Volksbank;Kieler Volksbank;21090007;GENODEF1KIL;24027;Kiel
Leipziger Volksbank;Leipziger Volksbank;86095604;GENODEF1LVB;04109;Leipzig
Oldenburger Volksbank;Oldenburger Volksbank;28061822;GENODEF1EDE;26122;Oldenburg (Oldb)
Ostfriesische Volksbank Leer;Ostfriesische VB Leer;28590075;GENODEF1LER;26768;Leer (Ostfriesland)
Raiffeisen Volksbank;Raiffeisen-VB Schwabenheim;50069842;GENODE51SWB;55270;Schwabenheim an der Selz
Raiffeisen-Bank Eschweiler;Raiffeisen-Bank Eschweiler;39362254;GENODED1RSC;52231;Eschweiler
Raiffeisen-Landesbank Steiermark, Niederlassung München;RLB Steiermark, München;70013300;RZSTDEM2XXX;80331;München
Raiffeisen-Volksbank;RVB Aurich;28562297;GENODEF1UPL;26589;Aurich
Raiffeisen-Volksbank Donauwörth;Raiff-VB Donauwörth;72290100;GENODEF1DON;86604;Donauwörth
Raiffeisen-Volksbank Ebersberg;Raiff-VB Ebersberg;70169450;GENODEF1ASG;85567;Grafing b. München
Raiffeisen-Volksbank Fresena;Raiff-VB Fresena;28361592;GENODEF1MAR;26506;Norden
Raiffeisen-Volksbank Haßberge;Raiff-VB Haßberge;79363151;GENODEF1HAS;97437;Haßfurt
Raiffeisen-Volksbank Hermsdorfer Kreuz;Raiffbk-VB Hermsdorf;83064488;GENODEF1HMF;07629;Hermsdorf
Raiffeisen-Volksbank Neustadt;Raiff-VB Neustadt;25069262;GENODEF1NST;31535;Neustadt am Rübenberge
Raiffeisen-Volksbank Ries;Raiffeisen-Volksbank Ries;72069329;GENODEF1NOE;86720;Nördlingen
Raiffeisen-Volksbank Tüßling-Unterneukirchen;Raiff-Volksbank Tüßling;70169576;GENODEF1TUS;84577;Tüßling
Raiffeisen-Volksbank Varel-Nordenham;Raiff-VB Varel-Nordenham;28064241;GENODEF1NHE;26954;Nordenham
Raiffeisenbank;Raiffeisenbank Bad Doberan;13061128;GENODEF1DBR;18209;Bad Doberan
Raiffeisenbank;Raiffeisenbank Seestermühe;20069144;GENODEF1SST;25371;Seestermühe
Raiffeisenbank;Raiffeisenbank, Hagenow;20069177;GENODEF1GRS;19230;Hagenow
Raiffeisenbank;Raiffbk Todenbüttel;21464671;GENODEF1TOB;24819;Todenbüttel
Raiffeisenbank;Raiffeisenbank Lauenburg;23063129;GENODEF1RLB;21481;Lauenburg
Raiffeisenbank;Raiffeisenbank Moormerland;28563749;GENODEF1MML;26802;Moormerland
Raiffeisenbank;Raiffbk Grävenwiesbach;50069345;GENODE51GWB;61279;Grävenwiesbach
Raiffeisenbank;Raiffbk Rodenbach Hanau;50663699;GENODEF1RDB;63514;Rodenbach
Raiffeisenbank;Raiffeisenbank Baunatal;52064156;GENODEF1BTA;34217;Baunatal
Raiffeisenbank;Raiffbk Niederwallmenach;57062675;GENODE51NWA;56357;Niederwallmenach
Raiffeisenbank;Raiffbk Erlenbach;60069911;GENODES1ERL;74233;Erlenbach
Raiffeisenbank;Raiffbk Berghülen;60069931;GENODES1BGH;89180;Berghülen
Raiffeisenbank;Raiffeisenbank Mittenwald;70169459;GENODEF1MTW;82481;Mittenwald
Raiffeisenbank;Raiffeisenbank Türkheim;70169575;GENODEF1TRH;86842;Türkheim
Raiffeisenbank;Raiffeisenbank Anger;71062802;GENODEF1AGE;83454;Anger
Raiffeisenbank;Raiffeisenbank Hiltenfingen;72069105;GENODEF1HTF;86856;Hiltenfingen
Raiffeisenbank;Raiffeisenbank Rehling;72069193;GENODEF1RLI;86508;Rehling
Raiffeisenbank;Raiffeisenbank Thannhausen;72069235;GENODEF1THS;86470;Thannhausen
Raiffeisenbank;Raiffeisenbank Wegscheid;74064593;GENODEF1WSD;94108;Wegscheid
Raiffeisenbank;Raiffeisenbank Grainet;74069744;GENODEF1GRT;94143;Grainet
Raiffeisenbank;Raiffeisenbank Bechhofen;76069378;GENODEF1BEH;91572;Bechhofen
Raiffeisenbank;Raiffeisenbank;79069213;GENODEF1RNM;97517;Rannungen
Raiffeisenbank Aichhalden-Hardt-Sulgen;Raiffbk Aichh-Hardt-Sulgen;60069553;GENODES1HAR;78739;Hardt
Raiffeisenbank Aidlingen;Raiffeisenbank Aidlingen;60069206;GENODES1AID;71134;Aidlingen
Raiffeisenbank Aitrang-Ruderatshofen;Raiffbk Aitrang-Ruderatshfn;73369851;GENODEF1AIT;87648;Aitrang
Raiffeisenbank Aldenhoven;Raiffeisenbank Aldenhoven;37069103;GENODED1ALD;52449;Aldenhoven
Raiffeisenbank Alteglofsheim-Hagelstadt;Raiffbk Alteglofshm-Hagelst;75069055;GENODEF1HGA;93095;Hagelstadt
Raiffeisenbank Altmühl-Jura;Raiffeisenbank Altmühl-Jura;76069462;GENODEF1GDG;91171;Greding
Raiffeisenbank Altschweier;Raiffeisenbank Altschweier;66261416;GENODE61ALR;77815;Bühl
Raiffeisenbank Aresing-Gerolsbach;Raiffbk Aresing-Gerolsbach;72169080;GENODEF1GSB;85302;Gerolsbach
Raiffeisenbank Arnstorf;Raiffeisenbank Arnstorf;74361211;GENODEF1ARF;94424;Arnstorf
Raiffeisenbank Aschau-Samerberg;Raiffbk Aschau-Samerberg;71162804;GENODEF1ASU;83226;Aschau i. Chiemgau
Raiffeisenbank Auerbach-Freihung;Raiffbk Auerbach-Freihung;76069369;GENODEF1AUO;91275;Auerbach i.d.OPf.
Raiffeisenbank Augsburger Land West;Raiffbk Augsburger Ld West;72069274;GENODEF1ZUS;86441;Zusmarshausen
